date,category,issue,name,price
2017-01-04,DARK HORSE COMICS,AUG160126,ASTRO BOY OMNIBUS TP VOL 06 (C: 0-1-2),$19.99
2017-01-04,DARK HORSE COMICS,AUG160127,NGE SHINJI IKARI RAISING PROJECT OMNIBUS TP VOL 02 (C: 1-1-2,$19.99
2017-01-04,DARK HORSE COMICS,NOV160041,RISE OF THE BLACK FLAME #5 (OF 5),$3.99
2017-01-04,DARK HORSE COMICS,SEP160081,WORLD OF TANKS #4,$3.99
2017-01-04,DC COMICS,NOV160198,AQUAMAN #14,$2.99
2017-01-04,DC COMICS,NOV160199,AQUAMAN #14 VAR ED,$2.99
2017-01-04,DC COMICS,NOV160208,BATMAN #14,$2.99
2017-01-04,DC COMICS,NOV160209,BATMAN #14 VAR ED,$2.99
2017-01-04,DC COMICS,OCT160300,CATWOMAN TP VOL 06 FINAL JEOPARDY,$29.99
2017-01-04,DC COMICS,NOV160214,CYBORG #8,$2.99
2017-01-04,DC COMICS,NOV160215,CYBORG #8 VAR ED,$2.99
2017-01-04,DC COMICS,NOV160295,DC COMICS BOMBSHELLS #21,$3.99
2017-01-04,DC COMICS,NOV160298,DEATH OF HAWKMAN #4 (OF 6),$3.99
2017-01-04,DC COMICS,NOV160353,EVERAFTER FROM THE PAGES OF FABLES #5 (MR),$3.99
2017-01-04,DC COMICS,NOV160293,FALL AND RISE OF CAPTAIN ATOM #1 (OF 6),$2.99
2017-01-04,DC COMICS,NOV160294,FALL AND RISE OF CAPTAIN ATOM #1 (OF 6) VAR ED,$2.99
2017-01-04,DC COMICS,NOV160307,FLINTSTONES #7,$3.99
2017-01-04,DC COMICS,NOV160308,FLINTSTONES #7 VAR ED,$3.99
2017-01-04,DC COMICS,OCT160307,GRAYSON TP VOL 05 SPYRALS END,$16.99
2017-01-04,DC COMICS,NOV160228,GREEN ARROW #14,$2.99
2017-01-04,DC COMICS,NOV160229,GREEN ARROW #14 VAR ED,$2.99
2017-01-04,DC COMICS,OCT160293,GREEN ARROW TP VOL 01 DEATH & LIFE OF OLIVER QUEEN (REBIRTH),$16.99
2017-01-04,DC COMICS,NOV160232,GREEN LANTERNS #14,$2.99
2017-01-04,DC COMICS,NOV160233,GREEN LANTERNS #14 VAR ED,$2.99
2017-01-04,DC COMICS,NOV160240,HARLEY QUINN #11,$2.99
2017-01-04,DC COMICS,NOV160241,HARLEY QUINN #11 VAR ED,$2.99
2017-01-04,DC COMICS,NOV160299,INJUSTICE GROUND ZERO #3,$2.99
2017-01-04,DC COMICS,NOV160179,JUSTICE LEAGUE #12 (JL SS),$2.99
2017-01-04,DC COMICS,NOV160180,JUSTICE LEAGUE #12 VAR ED (JL SS),$2.99
2017-01-04,DC COMICS,NOV160183,JUSTICE LEAGUE OF AMERICA THE ATOM REBIRTH #1,$2.99
2017-01-04,DC COMICS,NOV160184,JUSTICE LEAGUE OF AMERICA THE ATOM REBIRTH #1 VAR ED,$2.99
2017-01-04,DC COMICS,NOV160163,JUSTICE LEAGUE SUICIDE SQUAD #3 (OF 6),$3.99
2017-01-04,DC COMICS,NOV160164,JUSTICE LEAGUE SUICIDE SQUAD #3 (OF 6) CONNER VAR ED,$3.99
2017-01-04,DC COMICS,NOV160165,JUSTICE LEAGUE SUICIDE SQUAD #3 (OF 6) MADUREIRA VAR ED,$3.99
2017-01-04,DC COMICS,NOV160302,MIDNIGHTER AND APOLLO #4 (OF 6),$3.99
2017-01-04,DC COMICS,NOV160248,NIGHTWING #12,$2.99
2017-01-04,DC COMICS,NOV160249,NIGHTWING #12 VAR ED,$2.99
2017-01-04,DC COMICS,NOV160314,SCOOBY DOO WHERE ARE YOU #77,$2.99
2017-01-04,DC COMICS,NOV160279,SHADE THE CHANGING GIRL #4 (MR),$3.99
2017-01-04,DC COMICS,NOV160280,SHADE THE CHANGING GIRL #4 VAR ED (MR),$3.99
2017-01-04,DC COMICS,NOV160256,SUPERMAN #14,$2.99
2017-01-04,DC COMICS,NOV160257,SUPERMAN #14 VAR ED,$2.99
2017-01-04,DC COMICS,OCT160297,SUPERMAN TP VOL 01 SON OF SUPERMAN (REBIRTH),$16.99
2017-01-04,DC COMICS,NOV160360,UNFOLLOW #15 (MR),$3.99
2017-01-04,IDW PUBLISHING,OCT160448,BACK TO THE FUTURE CITIZEN BROWN TP,$19.99
2017-01-04,IDW PUBLISHING,NOV160480,BOX OFFICE POISON COLOR COMICS #1,$3.99
2017-01-04,IDW PUBLISHING,JUN160413,CHRIS SAMNEE DAREDEVIL ARTIST ED HC (NET) (C: 0-1-2),$PI
2017-01-04,IDW PUBLISHING,OCT160527,DONALD & MICKEY MAGIC KINGDOM COLLECTION TP,$12.99
2017-01-04,IDW PUBLISHING,OCT160464,DRAGONLANCE THE LEGEND OF HUMA TP,$19.99
2017-01-04,IDW PUBLISHING,OCT160424,GI JOE A REAL AMERICAN HERO #235,$3.99
2017-01-04,IDW PUBLISHING,OCT160425,GI JOE A REAL AMERICAN HERO #235 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,OCT160439,JEM & THE HOLOGRAMS #22,$3.99
2017-01-04,IDW PUBLISHING,OCT160440,JEM & THE HOLOGRAMS #22 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,JUN160570,LIFE & ADVENTURES OF SANTA CLAUS HC ILLUS ERIC SHANOWER,$16.99
2017-01-04,IDW PUBLISHING,NOV160513,MICKEY MOUSE #16,$3.99
2017-01-04,IDW PUBLISHING,NOV160514,MICKEY MOUSE #16 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,SEP160568,MICKEY MOUSE MYSTERIOUS MELODY HC,$14.99
2017-01-04,IDW PUBLISHING,NOV160426,MY LITTLE PONY FRIENDSHIP IS MAGIC TP VOL 11,$19.99
2017-01-04,IDW PUBLISHING,OCT160408,OPTIMUS PRIME #2,$3.99
2017-01-04,IDW PUBLISHING,OCT160409,OPTIMUS PRIME #2 SUBSCRIPTION VAR A,$3.99
2017-01-04,IDW PUBLISHING,OCT160410,OPTIMUS PRIME #2 SUBSCRIPTION VAR B,$3.99
2017-01-04,IDW PUBLISHING,OCT160542,POWERPUFF GIRLS HC VOL 01 HOMECOMING,$12.99
2017-01-04,IDW PUBLISHING,AUG160502,RAGNAROK #11,$4.99
2017-01-04,IDW PUBLISHING,AUG160503,RAGNAROK #11 SUBSCRIPTION VAR,$4.99
2017-01-04,IDW PUBLISHING,NOV160443,STAR TREK BOLDLY GO #4,$3.99
2017-01-04,IDW PUBLISHING,NOV160444,STAR TREK BOLDLY GO #4 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,SEP160595,STRAWBERRY SHORTCAKE #8,$3.99
2017-01-04,IDW PUBLISHING,SEP160596,STRAWBERRY SHORTCAKE #8 SUBSCRIPTION VAR A,$3.99
2017-01-04,IDW PUBLISHING,SEP160597,STRAWBERRY SHORTCAKE #8 SUBSCRIPTION VAR B,$3.99
2017-01-04,IDW PUBLISHING,NOV160516,UNCLE SCROOGE #22,$3.99
2017-01-04,IDW PUBLISHING,NOV160517,UNCLE SCROOGE #22 SUBSCRIPTION VAR,$3.99
2017-01-04,IDW PUBLISHING,OCT160469,WYNONNA EARP LEGENDS DOC HOLLIDAY #2,$3.99
2017-01-04,IDW PUBLISHING,OCT160470,WYNONNA EARP LEGENDS DOC HOLLIDAY #2 SUBSCRIPTION VAR A,$3.99
2017-01-04,IDW PUBLISHING,OCT160471,WYNONNA EARP LEGENDS DOC HOLLIDAY #2 SUBSCRIPTION VAR B,$3.99
2017-01-04,IDW PUBLISHING,NOV160491,YAKUZA DEMON KILLERS #3 (OF 6),$3.99
2017-01-04,IDW PUBLISHING,NOV160492,YAKUZA DEMON KILLERS #3 (OF 6) SUBSCRIPTION VAR,$3.99
